x0,x1,x2,x3,x4,x5,x6,batch_id,cand_index,role,pred_log_fom,pred_rank_in_batch,ckpt_step,fom,fom_error,fom_seconds
13.53847944411036,122.20791866236313,8.710925704511915,8.547310381534153,9.309079464235536,116.3804095108794,120.64121038357123,1,18,candidate,72.78817717116493,25,2500,2.36412675627524e+31,,18.836290500010364
13.968023078422547,119.22933186688664,9.253301609512286,8.869952776253005,9.772925092474368,134.10563695246447,114.94018863804433,1,19,candidate,72.5760706141048,18,2500,3.0108522099234285e+31,,14.583882000064477
12.77446462681215,130.29629351458794,9.229500745272537,6.661123070551246,6.40161137043753,123.49541317813414,131.92515910104794,1,20,candidate,72.29286125473301,8,2500,2.291202196759463e+31,,14.282270399970002
13.457973202904281,123.8474940459626,7.840478771283131,8.8595342062094,9.748102929803382,116.71521534014109,136.94018863804433,1,21,candidate,72.8453849323014,26,2500,4.163595952070129e+31,,13.679961599991657
5.765299822564074,120.0982398624557,8.704387851675754,11.350969854872009,9.92625902789219,118.76996553086205,125.22382704079652,1,22,candidate,72.42989841816211,13,2500,2.1499100044842884e+31,,14.771896000020206
12.656387765260824,122.4667724608044,9.315330664765765,10.835140243767766,9.757622131763593,130.44680917772612,122.78230726786526,1,23,candidate,72.18795956395485,5,2500,2.2628032256455967e+31,,14.057274599908851
6.045616537259992,128.05914549396084,7.609924684450956,9.721094853707681,8.726197024042442,125.2891683635151,124.64275644736456,1,24,candidate,71.80651742612106,1,2500,1.8566325639670492e+31,,13.984724799985997
11.451898746102792,125.79951698618827,9.975132702801725,9.197373240013983,9.261654824836178,120.8660488628835,136.94018863804433,1,25,candidate,73.01283181013616,27,2500,3.1855954856369396e+31,,14.154278800007887
19.337252077206724,130.75613293750726,9.445138580132426,12.12743416591483,10.926745969654707,131.2780961281032,136.94018863804433,1,26,candidate,72.36881065918293,11,2500,3.123103764558736e+31,,13.87130709993653
9.715377821074627,127.24289348117185,8.670618242107954,10.507267009628784,9.522375330541555,126.83997740760056,131.8515783453257,1,27,candidate,72.23458015084738,6,2500,1.8379791493238827e+31,,14.339273800025694
16.382640816970383,135.41889050091754,9.93617236453727,12.58088868954142,13.091246859828708,128.38008081684464,128.28724865125,1,28,candidate,72.56883005303605,17,2500,2.538846118899175e+31,,14.196325699915178
18.75751052942979,116.50184166197029,8.976356644891,10.741222516344752,10.988135468690567,132.77377094092913,128.76886269930841,1,29,candidate,72.65589193905065,22,2500,2.609499122196175e+31,,13.964416800066829
22.160297495898895,126.01906486990569,8.462352570585137,9.71763152923647,9.696277394979864,121.83595770158463,131.0343183152803,1,30,candidate,71.9072367770854,2,2500,1.9362629666851275e+31,,14.354151400038972
8.916666876256464,125.79075738707863,8.210199876359274,9.394433467737244,7.6716609964741345,124.38084556080055,126.93965616114531,2,-1,centre,71.88634450581455,-1,2500,1.6543492840011024e+31,,13.821859800023958
18.916666876256464,118.05372544895543,8.36417497258818,11.311415446799653,9.782579725793436,115.40494225059065,128.4414147862318,2,0,candidate,72.3884481647537,5,2500,2.5087174010940444e+31,,14.046518000075594
7.161514691421882,128.8386649673063,7.184795176234374,8.709990463932428,9.074860480854225,130.25203646315688,130.34773981887548,2,1,candidate,71.91008479599886,0,2500,1.8480767485562477e+31,,20.463885099976324
8.972849001128528,125.00905107417321,9.165475529110203,9.936127961590184,11.071660996474135,123.94039909251973,137.02003786199452,2,2,candidate,72.50911544402796,11,2500,2.8261497200327846e+31,,25.7826095999917
0.7076907150571223,130.66906512894073,6.834750733859447,9.712799115692604,9.52633283314351,115.23854871957201,130.460245580494,2,3,candidate,72.39615181194263,7,2500,2.4859758828064787e+31,,25.059925799956545
6.71516538745127,136.79075738707863,8.592042021533684,9.434489870853895,7.6584859286828895,125.61681638099562,120.60989376535638,2,4,candidate,72.3935037937515,6,2500,3.4643456908378723e+31,,24.988278699922375
9.203516898096737,121.45537275833564,8.953788207618858,9.107424066508502,8.063311233635911,116.21861324726044,130.0113696738212,2,5,candidate,72.30228959976503,4,2500,1.841314744543449e+31,,25.665993300033733
11.778919821861184,131.39254172448597,6.810199876359274,8.678022657526162,7.016936299352178,135.38084556080054,125.8323683250732,2,6,candidate,72.67806693480156,15,2500,2.542555171872115e+31,,25.274351899977773
9.800797824941373,124.17845296855013,8.580500883724199,8.25115925426523,9.021192856824337,131.90267595558123,127.60953585967513,2,7,candidate,72.5469684142736,14,2500,2.0836086683563986e+31,,25.44832550000865
13.563619678314403,125.09253547720476,9.380014366708155,7.280250522683469,6.361338883984452,121.16707964033279,127.5197190432533,2,8,candidate,72.06496256934926,2,2500,1.6696017063030577e+31,,26.039370500016958
18.090532889550992,127.39227160339516,9.307447408917604,6.84056377099909,5.692488054415239,131.09819444858095,137.9396561611453,2,9,candidate,72.54144814772559,13,2500,3.022286988621698e+31,,25.010207899962552
8.268570274133014,131.85149850069737,7.733661041206187,8.895693861505732,8.248992409506798,134.29876178887744,115.93965616114531,2,10,candidate,73.16982969875903,21,2500,3.275027347777624e+31,,24.875275200000033
8.721973832410141,118.9598478635326,7.697186579068769,9.42983234026492,7.792845502358974,121.26966198572734,124.11999383483496,2,11,candidate,72.40342791605241,8,2500,2.2881427804158496e+31,,25.57592149998527
8.537071690689691,124.62113264895014,7.564995704733371,11.32035293195861,9.645806758648119,131.98087529722264,124.6755044383379,2,12,candidate,72.90844067796662,18,2500,2.4728514026792564e+31,,26.133292000042275
17.678068918598385,128.1987085592084,8.723144146074363,7.377547665302396,7.020467375030186,113.77976493142877,126.92003122982985,2,13,candidate,72.49568946435811,10,2500,2.917045825157169e+31,,25.55055279994849
10.372206041998028,122.51159900818523,7.960306528001692,7.839572861552677,7.934762753423259,135.38084556080054,125.746751742322,2,14,candidate,72.83988806805282,16,2500,3.488647395245382e+31,,24.943691699998453
